testId,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,1651,36.076918,140.212858,10/22/2002,13:30:56,0:00:29
021022K1KA,1653,36.076919,140.212847,10/22/2002,13:30:56,0:00:29
021022K1KA,1656,36.07692,140.212836,10/22/2002,13:30:56,0:00:29
021022K1KA,1658,36.076921,140.212825,10/22/2002,13:30:56,0:00:29
021022K1KA,1661,36.076922,140.212814,10/22/2002,13:30:56,0:00:29
021022K1KA,1664,36.076924,140.212803,10/22/2002,13:30:56,0:00:29
021022K1KA,1666,36.076925,140.212792,10/22/2002,13:30:56,0:00:29
021022K1KA,1669,36.076926,140.212781,10/22/2002,13:30:56,0:00:29
021022K1KA,1672,36.076927,140.212769,10/22/2002,13:30:56,0:00:29
021022K1KA,1675,36.076928,140.212758,10/22/2002,13:30:56,0:00:29
021022K1KA,1678,36.076929,140.212747,10/22/2002,13:30:56,0:00:29
021022K1KA,1681,36.07693,140.212736,10/22/2002,13:30:57,0:00:30
021022K1KA,1684,36.076931,140.212725,10/22/2002,13:30:57,0:00:30
021022K1KA,1687,36.076932,140.212714,10/22/2002,13:30:57,0:00:30
021022K1KA,1690,36.076933,140.212703,10/22/2002,13:30:57,0:00:30
021022K1KA,1693,36.076934,140.212692,10/22/2002,13:30:57,0:00:30
021022K1KA,1696,36.076935,140.212681,10/22/2002,13:30:57,0:00:30
021022K1KA,1700,36.076936,140.21267,10/22/2002,13:30:57,0:00:30
021022K1KA,1703,36.076937,140.212659,10/22/2002,13:30:57,0:00:30
021022K1KA,1707,36.076938,140.212648,10/22/2002,13:30:57,0:00:30
021022K1KA,1711,36.076939,140.212637,10/22/2002,13:30:58,0:00:31
021022K1KA,1714,36.07694,140.212626,10/22/2002,13:30:58,0:00:31
021022K1KA,1718,36.076941,140.212615,10/22/2002,13:30:58,0:00:31
021022K1KA,1723,36.076942,140.212604,10/22/2002,13:30:58,0:00:31
021022K1KA,1727,36.076943,140.212593,10/22/2002,13:30:58,0:00:31
021022K1KA,1731,36.076944,140.212582,10/22/2002,13:30:58,0:00:31
021022K1KA,1736,36.076945,140.212571,10/22/2002,13:30:58,0:00:31
